a433-microservices-item-db-1  | 2023-11-23T02:54:40.500+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=67e1f400964e
a433-microservices-item-db-1  | 2023-11-23T02:54:40.500+0000 I CONTROL  [initandlisten] db version v3.6.23
a433-microservices-item-db-1  | 2023-11-23T02:54:40.500+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
a433-microservices-item-db-1  | 2023-11-23T02:54:40.500+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
a433-microservices-item-db-1  | 2023-11-23T02:54:40.500+0000 I CONTROL  [initandlisten] allocator: tcmalloc
a433-microservices-item-db-1   | 2023-11-23T02:54:40.500+0000 I CONTROL  [initandlisten] modules: none
a433-microservices-item-db-1   | 2023-11-23T02:54:40.500+0000 I CONTROL  [initandlisten] build environment:
a433-microservices-item-db-1   | 2023-11-23T02:54:40.501+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
a433-microservices-item-db-1   | 2023-11-23T02:54:40.501+0000 I CONTROL  [initandlisten]     distarch: x86_64
a433-microservices-item-db-1   | 2023-11-23T02:54:40.501+0000 I CONTROL  [initandlisten]     target_arch: x86_64
a433-microservices-item-db-1   | 2023-11-23T02:54:40.501+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
a433-microservices-item-db-1   | 2023-11-23T02:54:40.501+0000 I STORAGE  [initandlisten] 
a433-microservices-item-db-1   | 2023-11-23T02:54:40.501+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
a433-microservices-item-db-1   | 2023-11-23T02:54:40.501+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
a433-microservices-item-db-1   | 2023-11-23T02:54:40.501+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=7431M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
a433-microservices-item-db-1   | 2023-11-23T02:54:41.395+0000 I STORAGE  [initandlisten] WiredTiger message [1700708081:395553][1:0x7f6caee41a40], txn-recover: Set global recovery timestamp: 0
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | > docker-software-delivery@1.0.0 start /app
a433-microservices-item-app-1  | > node ./bin/www
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | 
